hotel_id,name,description
5065298h,Cerulean Tower,"building in Shibuya, Tokyo, Japan"
5330926h,Eastside Cannery,"hotel and casino in Nevada, United States"
5120095h,Cimarron Hotel,"historic hotel located in Cimarron, a small town located in southwest Kansas, United States"
4993716h,Castle of Alvito,"building in Alvito Municipality, Beja District, Portugal"
4985118h,Texas Station,"hotel and casino in North Las Vegas, Nevada"
77416106h,DoubleTree by Hilton Glasgow Westerwood Spa & Golf Resort,"hotel in North Lanarkshire, United Kingdom"
72172868h,DoubleTree by Hilton Madrid - Prado,"hotel in Madrid, Spain"
76355045h,Arena Center,"high-rise building in Tirana, Albania"
69383898h,Hilton Sydney,"hotel in Sydney, Australia"
72278577h,Hilton Jaipur,"hotel in Jaipur, India"
76721707h,Hilton Kuching,"hotel in Kuching, Malaysia"
75018491h,Hilton Garden Inn Krakow,"hotel in Kraków, Poland"
69647678h,Hilton Aberdeen TECA,"hotel at Aberdeen airport, United Kingdom"
77418726h,Hilton Garden Inn Lusaka Society Business Park,"hotel in Lusaka, Zambia"
71817207h,Hampton by Hilton Warsaw Airport,"hotel in Warsaw, Poland"
76021053h,ANA Crowne Plaza Akita,"a hotel in Akita, Akita, Japan"
72067004h,DoubleTree by Hilton Moscow - Vnukovo Airport,"hotel in Vnukovo, Russia"
73621829h,Hilton Luxor Resort & Spa,"hotel in Luxor, Egypt"
73640935h,Santa Casa da Misericórdia de Óbidos,hospital
74527699h,Hilton Capital Grand Abu Dhabi,"hotel in Abu Dhabi, United Arab Emirates"
72988389h,DoubleTree by Hilton Hotel Zanzibar - Stone Town,"hotel in Stone Town, Tanzania"
78054939h,"AlRayyan Hotel Doha, Curio Collection by Hilton","hotel in Doha, Qatar"
73274620h,Pellihof,"building in Rendsburg, Germany"
73898961h,Hilton Garden Inn Zagreb - Radnicka,"hotel in Zagreb, Croatia"
73139954h,Hilton Tangier Al Houara Resort & Spa,"hotel in Tangier, Morocco"
76620470h,Hampton by Hilton Dubai Al Barsha,"hotel in Dubai, United Arab Emirates"
69531148h,Hampton by Hilton Amsterdam Airport Schiphol,"hotel near Schiphol Airport, Netherlands"
76726211h,DoubleTree by Hilton Hotel Moscow - Marina,"hotel in Moscow, Russia"
70206906h,Hilton Garden Inn Kuala Lumpur Jalan Tuanku Abdul Rahman North,"hotel in Kuala Lumpur, Malaysia"
72812966h,Hilton Addis Ababa,"hotel in Addis Ababa, Ethiopia"
78036841h,Hilton Guam Resort & Spa,"hotel in Tamuning, USA"
73499085h,Hampton by Hilton Berlin City Centre Alexanderplatz,"hotel in Berlin, Germany"
76795105h,Hilton Sharks Bay Resort,"hotel in Sharm el-Sheikh, Egypt"
72177013h,Palacete B. Carrera,building in Brazil
76724214h,DoubleTree by Hilton Krakow Hotel & Convention Center,"hotel in Kraków, Poland"
68167138h,Hotel Pyramida,hotel building in Prague
71828738h,"Hilton Puckrup Hall, Tewkesbury","hotel in Tewkesbury, United Kingdom"
71409297h,Hilton London Watford,"hotel in Watford, United Kingdom"
75971164h,Hilton Garden Inn Riyadh Olaya,"hotel in Riyadh, Saudi Arabia"
74665770h,DoubleTree by Hilton Hotel Jakarta - Diponegoro,"hotel in Jakarta, Indonesia"
75721557h,DoubleTree by Hilton Edinburgh - Queensferry Crossing,"hotel in Fife, United Kingdom"
74812978h,DoubleTree by Hilton Hotel Aqaba,"hotel in Aqaba, Jordan"
73879785h,Hilton Mandalay,"hotel in Mandalay, Myanmar"
896259h,Monrepos,human settlement
869378h,California Hotel and Casino,"casino hotel in Las Vegas, Nevada"
900983h,The Mirage,"casino hotel in Las Vegas, Nevada"
804702h,Balch Hotel,architectural structure
845846h,"The STRAT Hotel, Casino & SkyPod","hotel, casino, and tower located in Las Vegas"
851102h,Hotel Kvarner,hotel in Croatia
805467h,Bally's Las Vegas Hotel & Casino,"hotel and casino on the Las Vegas Strip in Paradise, Nevada, USA"
68121379h,Parkhotel Praha,hotel building in Prague
66771676h,Hilton Shillim Estate Retreat & Spa,"hotel in Shillim, India"
66969081h,Hampton by Hilton Leeds City Centre,"building in Leeds, West Yorkshire"
66658603h,Hilton Pattaya,"hotel in Pattaya, Thailand"
66660297h,Hilton Garden Inn Dubai Al Mina,"hotel in Dubai, United Arab Emirates"
67920401h,Hilton Malta,hotel in Malta
66924306h,Jurys Inn Leeds,"building in Leeds, West Yorkshire"
66969326h,Hilton Leeds City,"hotel in Leeds, United Kingdom"
66586875h,Hilton Makkah Convention Hotel,"hotel in Mecca, Saudi Arabia"
66814366h,"Hotel Ritz, incluindo o património integrado","cultural heritage monument in Lisboa, Portugal"
67868674h,DoubleTree by Hilton Royal Parc Soestduinen,"hotel in Soestduinen, Netherlands"
66813051h,"Palácio Hotel de Bussaco, Palacete Hotel do Buçaco","cultural heritage monument in Mealhada, Portugal"
66813690h,Castle of Estremoz,"cultural heritage monument in Estremoz, Portugal"
67863357h,Hilton Glasgow Grosvenor,"hotel in Glasgow, Scotland, UK"
67874379h,Hampton by Hilton Dundee City Centre,"hotel in Dundee, Scotland, UK"
67206508h,Hilton Garden Inn Rome Airport,"4-star hotel in Fiumicino, Italy"
66969175h,Ibis Leeds Centre,"building in Leeds, West Yorkshire"
67765140h,Conrad Koh Samui,"hotel in Ko Samui, Thailand"
67013894h,DoubleTree by Hilton Hotel Olbia - Sardinia,"hotel in Sardinia, Italy"
64769038h,Washingtonova 23,building in Prague
64785112h,"Hotel Villa Magna, Madrid","building in Madrid, Spain"
65769542h,DoubleTree by Hilton Carcassonne,"hotel in Carcassonne, France"
63790123h,Hilton Garden Inn Kampala,"hotel in Kampala, Uganda"
66437370h,DoubleTree by Hilton Dubai - Business Bay,"hotel in Dubai, United Arab Emirates"
65043882h,Rickman House,"hotel building in Kalamazoo, Michigan"
64827562h,Hilton Garden Inn Singapore Serangoon,hotel in Singapore
64933804h,Hilton Garden Inn Ras Al Khaimah,"hotel in Ras Al Khaimah, United Arab Emirates"
66424250h,Hilton Garden Inn Istanbul Golden Horn Turkey,"hotel in Istanbul, Turkey"
64363310h,DoubleTree by Hilton Hotel Bristol City Centre,"hotel in Bristol, United Kingdom"
64868965h,Hilton Garden Inn Bristol City Centre,"hotel in Bristol, United Kingdom"
65042009h,Broadway Hotel,"historic hotel building in Salt Lake City, Utah, United States"
64822290h,Hilton Reykjavik Nordica,"hotel in Reykjavík, Iceland"
63883252h,Hilton Moorea Lagoon Resort & Spa,"hotel in Moorea, France"
66423173h,Waldorf Astoria Ras Al Khaimah,"hotel in Ras Al Khaimah, United Arab Emirates"
66424172h,Hilton Nicosia,"hotel in Nicosia, Cyprus"
64152343h,DoubleTree by Hilton Cambridge Belfry,"hotel in Cambridge, United Kingdom"
65218555h,"Danubius Hotel Hungaria City Center, Budapest","hotel in Budapest, Hungary"
63435869h,Fort Worth Club Building,"building in Fort Worth, Tarrant County, Texas"
66382805h,Conrad Dublin,"hotel in Dublin, Ireland"
63608863h,DoubleTree by Hilton Hotel London - Victoria,"hotel in London, United Kingdom"
64701276h,Hilton Seychelles Labriz Resort & Spa,"hotel in Silhouette Island, Seychelles"
64845961h,Conrad Algarve,"hotel in Algarve, Portugal"
64992591h,Hampton by Hilton Exeter Airport,"hotel in Exeter, United Kingdom"
65037569h,Parnitha Sanatorium,former tuberculosis sanatorium in Athens
63164854h,Hilton Garden Inn Luton North,"hotel in Luton, United Kingdom"
65770076h,Hilton Garden Inn Glasgow City Centre,"hotel in Glasgow, United Kingdom"
63296024h,Hilton Garden Inn Kuala Lumpur Jalan Tuanku Abdul Rahman South,"hotel in Chow Kit, Kuala Lumpur, Malaysia"
64859000h,Hilton Colombo,"hotel in Colombo, Sri Lanka"
66439260h,DoubleTree by Hilton Hotel Gurgaon - New Delhi NCR,"hotel in New Delhi, India"
63859908h,Hilton Garden Inn Tirana,"hotel in Tirana District, Albania"
63190257h,Hilton Brisbane,"hotel in Brisbane, Australia"
65042333h,The Salvation Army Building,"historic building in Pittsburgh, Pennsylvania"
64845950h,Hampton by Hilton Amsterdam / Arena Boulevard,"hotel in Amsterdam, Netherlands"
63832005h,Hampton by Hilton Warsaw Mokotow,"3-star hotel in Warsaw, Poland"
63869688h,DoubleTree by Hilton Kocaeli,"hotel in Kocaeli, Turkey"
63975276h,Hampton by Hilton Belfast City Centre,"hotel in Belfast, United Kingdom"
63885416h,Hilton Garden Inn Birmingham Brindleyplace,"hotel in Birmingham, United Kingdom"
50356312h,Hotel Palace of Valencia,"building in Valencia, Spain"
49807274h,Hilton London Bankside,"hotel in London, United Kingdom"
49594143h,Kurstraße 6,house in Torgau in Germany
50841764h,Hilton York,"hotel in York, United Kingdom"
49593839h,Friedrichplatz 8,commercial building in Torgau in Germany
49595033h,Schloßstraße 5,house in Torgau in Germany
50611971h,Hampton by Hilton London Gatwick Airport,"hotel at Gatwick Airport, United Kingdom"
50308536h,DoubleTree by Hilton Hotel Dubai - Jumeirah Beach,"hotel in Dubai, United Arab Emirates"
50809149h,Hilton Astana,"hotel in Nur-Sultan, Kazakhstan"
50353048h,Hilton Istanbul Bomonti Hotel & Conference Center,"hotel in Istanbul, Turkey"
33035435h,DoubleTree by Hilton Hotel Istanbul - Moda,"hotel in Istanbul, Turkey"
42341625h,DoubleTree by Hilton Hotel London - Hyde Park,4-star hotel in London with 228 guest rooms.
43371249h,Brooks Hotel,hotel in Ravalli County in United States of America
47902573h,Schloss Kölzow,"Cultural heritage monument in Kölzow, Mecklenburg-Vorpommern, Germany"
45316350h,DoubleTree by Hilton Hotel Edinburgh City Centre,"hotel in Edinburgh, United Kingdom"
37858682h,DoubleTree by Hilton Hotel Leeds City Centre,"hotel in Leeds, United Kingdom"
47518776h,Millennium Hilton Bangkok,"hotel in Bangkok, Thailand"
33382454h,DoubleTree by Hilton Hotel Melbourne - Flinders Street,"hotel in Melbourne, Australia"
37858337h,Hampton by Hilton Glasgow Central,"hotel in Glasgow, United Kingdom"
33189243h,Feuerschiff,"museum ship and restaurant in Hamburg, Germany"
37857517h,Hampton by Hilton Birmingham Jewellery Quarter,"hotel in Birmingham, United Kingdom"
49593283h,Breite Straße 19,house in Torgau in Germany
42748124h,Shah Abbasi Caravanserai of Abuzeydabad,"caravanserai in Abuzeydabad, Iranian national heritage site"
38251391h,3 V Tourist Court,United States historic place
48843972h,Booth Hotel,"hotel building in Independence, Kansas"
41300192h,Hilton Pyramids Golf,"hotel in 6th of October City, Egypt"
42874514h,Golshan House (Yazd),"mansion in Yazd, Iranian national heritage site"
40037779h,Dämman,"lighthouse in Mönsterås Municipality, Baltic coast, Sweden"
49393251h,DoubleTree by Hilton Hotel Kuala Lumpur,"hotel in Kuala Lumpur, Malaysia"
47401774h,Conrad Bora Bora Nui,"hotel in Bora Bora, France"
41069183h,Hilton Amsterdam Airport Schiphol,"hotel near Schiphol Airport, Netherlands"
47004857h,Brandt Hotel,"hotel building in Alma, Kansas"
42867978h,Tehrani House (Yazd),"mansion in Yazd, Iranian national heritage site"
45472344h,Hilton Tanger City Center Hotel & Residences,"hotel in Tangier, Morocco"
38251968h,Bonneville Hotel,"hotel building in Idaho Falls, Idaho"
33229354h,Hilton London Croydon,"hotel in Croydon, United Kingdom"
43031921h,Corona Hotel in Baia Sprie,"heritage site in Maramureș County, Romania"
47166648h,Palau Benet-Desvilar,"house in Barcelona, Spain"
44406603h,Hampshire House,skyscraper in New York City
49573628h,Hilton Cabo Verde Sal Resort,"hotel in Santa Maria, Sal Island, Cape Verde"
33101471h,DoubleTree by Hilton Hotel Cluj - City Plaza,"hotel in Cluj-Napoca, Romania"
34204337h,Waldorf Astoria Dubai Palm Jumeirah,5-star hotel in Dubai
114289194h,Grand Hôtel G. Scheers,"former hotel in Brussels, Belgium"
113164237h,Clarendon Hotel,"Historic hotel in Green Cove Springs, Florida"
115282741h,Nedermolen,"former watermill at Meldert, Belgium"
113163876h,St. James Hotel,"Historic hotel in Jacksonville, Fla."
113564549h,Hôtel La Pérouse,"building in Paris, France"
113164146h,Palmetto House,"Historic hotel in Green Cove Springs, Florida"
116215655h,Hotel Antonio Perez,The former hotel Antonio Perez from the late 17th century. Converted at the end of the 19th century into offices and warehouses of the liqueur distiller Jacques Neefs. By project developer M.P. Omega converted into a residential complex.
113164074h,Windsor Hotel,"Historic hotel in Jacksonville, Florida"
113171856h,Union House,"Historic hotel in Green Cove Springs, Florida"
1429071h,New York-New York Hotel and Casino,hotel and casino in Las Vegas
1412478h,"The Waldorf Hilton, London","hotel in Westminster, London, United Kingdom"
1368798h,SEG Plaza,"skyscraper located in Shenzhen, China"
1430318h,Rossiya Hotel,"former hotel in Moscow, demolished in 2007"
1426968h,Flamingo Las Vegas,"casino hotel in Las Vegas, Nevada"
1401439h,Schüttkasten Geras,"building in Lower Austria, Austria"
30438998h,Hilton Dusseldorf,"hotel in Düsseldorf, Germany"
30504052h,DoubleTree by Hilton Hotel London - Marble Arch,"4-star hotel located in Marylebone and close to Marble Arch, London"
31277862h,Hilton Tallinn Park,"hotel in Tallinn City, Estonia"
30522857h,Hilton Brussels Grand Place,"hotel in Brussels, Belgium"
31827676h,U zlatého anděla,building in Prague
31827738h,U Medvídků,building in Prague
30736107h,Hilton Imperial Dubrovnik,"hotel in Dubrovnik, Croatia"
32947262h,Hilton Garden Inn New Delhi/Saket,"hotel in New Delhi, India"
30927563h,Koriyama View Hotel Annex,"hotels in Koriyama, Fukushima, Japan"
30504754h,Hilton Nottingham,"hotel in Nottingham, United Kingdom"
30644484h,Hotel Manger,former hotel in Boston
31861463h,"Krajinská 41, Zátkův dům","house in České Budějovice 1, Czech Republic"
30946698h,Hilton Garden Inn Hong Kong Mongkok,"hotel in Mong Kok, Hong Kong"
98433825h,Suomi-yhtiön talo,"building in Helsinki, Finland"
98433345h,Valtion biokemiallisen tutkimuslaitoksen laboratoriorakennus,"building in Helsinki, Finland"
98582250h,Hotel Villa,"hotel and protected building in Tampere, Finland"
98433742h,Katajanokan vankilan rakennus,"building in Helsinki, Finland"
98550889h,Villa Gaia,"building in Marina di Grosseto, Italy"
98784123h,"Stadshotellet, Karlstad","building in Karlstad Municipality, Sweden"
98433308h,Valion juustovaraston rakennus,"building in Helsinki, Finland"
113051152h,Putnam House,"Historic hotel in Palatka, Florida"
111243216h,Hilton Singapore Orchard,hotel in Singapore
110407965h,Tours Odyssey,Three mixed-use skyscrapers in Paris La Défense
110660109h,Silk Road Hotel (Yazd),"mansion in Yazd, Iran"
110660372h,Dalan-e Behesht Hotel,"mansion in Yazd, Iran"
110664670h,Khesht Abad Hotel,"mansion in Yazd, Iran"
110735133h,Can Balaguer,"building in Palma, on Carrer del Sol"
111445383h,Chestnut Residence and Conference Centre,off-campus student residence on the University of Toronto St. George campus
110831132h,Casa Gabino Bobo,"building in Zamora, Spain"
110681137h,Zoerselhof,"mansion at Zoersel, Belgium"
112168936h,De Gouden Leeuw,"former inn in Zottegem, Belgium"
110251555h,Ostrovní 15,building in Prague
110010967h,"SAii Lagoon Maldives, Curio Collection by Hilton",hotel in Maldives
110041692h,Central téléphonique Ségur,building located in Paris
112147576h,Torenhuis,"artist villa in Sint-Martens-Latem, Belgium"
111041461h,DoubleTree by Hilton Hannover Schweizerhof,"hotel in Hannover, Germany"
110147122h,Hilton Garden Inn London Heathrow Terminals 2 and 3,One of the Hilton Garden Inn Heathrow hotels at the airport
112111547h,Lepopirtti,"building in Siuntio, Finland"
30140581h,DoubleTree by Hilton Hotel Oradea,"hotel in Oradea, Romania"
30242708h,DoubleTree by Hilton Hotel Avanos - Cappadocia,"hotel in Nevşehir, Turkey"
30090585h,Conrad Makkah,"hotel in Mecca, Saudi Arabia"
30035305h,Hilton Saint Petersburg ExpoForum,"hotel in Saint Petersburg, Russia"
30277430h,Hilton Batumi,"hotel in Batumi, Georgia"
30337433h,Hilton Garden Inn Volgograd,"hotel in Volgograd, Russia"
30402016h,Hilton Belfast,"4-star Hotel in Belfast, UK"
30047899h,Hilton Garden Inn Stuttgart NeckarPark,"hotel in Stuttgart, Germany"
29981099h,Conrad Bali,"hotel in Bali, Indonesia"
30174421h,Hilton Colombo Residences,"hotel in Colombo, Sri Lanka"
29909111h,Hotel Alfonso X El Sabio,building in Ciudad Real
30097821h,Conrad Beijing,"hotel in Beijing, China"
30097763h,"The Westminster London, Curio Collection by Hilton","hotel in London, England"
30302746h,Hilton Brussels City,"hotel in Brussels, Belgium"
30301927h,Hampton by Hilton Bristol City Centre,"hotel in Bristol, United Kingdom"
30347445h,DoubleTree by Hilton Hotel Milan,"hotel in Milan, Italy"
30409284h,Hilton Vienna Park,"5-star hotel in Vienna, Austria"
30346525h,Hilton Edinburgh Grosvenor,"hotel in Edinburgh, United Kingdom"
29948012h,DoubleTree by Hilton Hotel Edinburgh Airport,"hotel in Edinburgh, United Kingdom"
30308807h,Hilton Alexandria King's Ranch,"hotel in Alexandria, Egypt"
30307361h,Hilton Hurghada Plaza,"hotel in Hurghada, Egypt"
30021076h,Hilton Cologne,"Experience the unique mix of modern and traditional beauty of Cologne. Hilton Cologne puts you in the heart of the city, just steps from famous sites and museums."
30251296h,Hilton Garden Inn Matera,"hotel in Matera, Italy"
30021879h,DoubleTree by Hilton London Heathrow Airport,"hotel near Heathrow airport, London, United Kingdom"
30306779h,Hilton Adelaide,"hotel in Adelaide, Australia"
30014678h,DoubleTree by Hilton Hotel Istanbul - Old Town,"hotel in Istanbul, Turkey"
30139243h,Hilton Prague Old Town,"hotel in Prague, Czech Republic"
30407987h,DoubleTree by Hilton Hotel Wroclaw,"hotel in Wrocław, Poland"
30147522h,Hilton Dubai Jumeirah,"hotel in Dubai, United Arab Emirates"
1436845h,Cosmopolitan of Las Vegas,"casino hotel in Las Vegas, Nevada"
1457875h,Villa Crespi,villa
1481002h,The Ritz London,luxury hotel in England
104083353h,Commercial Hotel,"building in Cygnet, Tasmania"
104830558h,Welsbach Building,"historic building in Columbus, Ohio, U.S"
100877359h,Müritz Hotel,"former hotel in Klink, Germany"
108729880h,Kasteel Solhof,"château and hotel in Aartselaar, Belgium"
106090892h,"Overtoom 33, Amsterdam","historic building in Amsterdam, The Netherlands"
108309815h,Can Cera,building in Palma (Mallorca)
99454646h,Conrad Bengaluru,"hotel in Bengaluru, India"
108865673h,Union Hotel,"hotel building in Meridian, Mississippi"
105621651h,Oubangui Hotel,building
105554563h,Heliopolis Towers Hotel,hotel in Cairo
108865646h,Lamar Hotel,"hotel building in Meridian, Mississippi"
108516880h,Villa Balbi,"building in Sestri Levante, Italy"
99703247h,Grand Hôtel,hotel in DInard
107121457h,Brinker Collegiate Institute,"school building in Denver, Colorado"
106393048h,Hampton by Hilton Bursa,Budget hotel in Bursa
104234251h,British Hotel,"building in Deloraine, Tasmania"
99583717h,Hôtel van Ertborn,building in Antwerp
103331335h,"32 Bond Street, Ross","building in Ross, Tasmania"
106192327h,Can Ferrandell,building in Palma (Mallorca)
108294146h,"Flour Mill at 129 Port avenue, Valencia","building in Valencia, Spain"
107168152h,Manor House Hotel,"former hotel in Chicago, Illinois"
107607598h,Hotel Dudley,"former hotel and Green Book historical site in Springfield, Illinois"
106996884h,Na můstku 10,house in Prague
109451447h,Panquinkazerne,"barracks at Tervuren, Belgium"
98407311h,Annankatu 1,"building in Helsinki, Finland"
98413370h,Kanavakatu 8,"building in Helsinki, Finland"
96377064h,Hilton Bursa Convention Center and Spa,Luxury Hotel in Bursa
86595792h,Valkealinna,"building in Oulu, Finland"
96757505h,Pazo of the Maceda Counts,"Manor house in Pontevedra, Spain"
85802924h,St. Nicholas Hotel,"hotel building in Albany, Georgia"
90404749h,Hilton Durban,"hotel in Durban, South Africa"
85845504h,Berwyn Apartments,"building in Berwyn, Illinois"
96743206h,Great Falls Tavern,historic tavern serves as the main C&O Canal National Historical Park visitor center
96787014h,Hilton Garden Inn Kuwait,hotel in Kuwait
79942014h,Hotel Amigo,"hotel in Brussels, Belgium"
84029894h,Hampton by Hilton Nuremberg City Centre,"hotel in Nuremberg, Germany"
81100400h,Casa Pere Villoch,"building in Barcelona, Spain"
98407274h,Albertinkatu 34 - Lönnrotinkatu 26,"building in Helsinki, Finland"
98407275h,Albertinkatu 34,"building in Helsinki, Finland"
98432053h,Pohjoinen Rautatiekatu 23,"building in Helsinki, Finland"
81100403h,Edifici Companyia Transatlàntica,"building in Barcelona, Spain"
85749503h,Bump Block-Bellevue House-Hawthorne Hotel,"historic seven-story building in Spokane, Washington"
85758819h,El Monte Hotel,"hotel building in Monte Vista, Colorado"
90545243h,Hilton Garden Inn Sevilla,"hotel in Seville, Spain"
98412733h,Hotelli Marskin talo,"building in Helsinki, Finland"
92176916h,Hilton London Heathrow Airport Terminal 5,"hotel in Slough, United Kingdom"
92263872h,Hilton Dublin Kilmainham,"hotel in Dublin, Ireland"
81495406h,DoubleTree by Hilton Bangkok Ploenchit,"hotel in Bangkok, Thailand"
98412731h,Hotelli Helsinki,"building in Helsinki, Finland"
93121772h,Hôtel Napoléon,"building in Cherbourg-en-Cotentin, France"
79309518h,MLC Building,"former office building, now a hotel, in Auckland, New Zealand"
90682834h,Hilton Sandton,"hotel in Sandton, South Africa"
86754328h,Inez Hotel,"historic three-story building in Brookhaven, Mississippi"
91607548h,Hilton Suites Makkah,"hotel in Mecca, Saudi Arabia"
78897920h,"West Hotel Sydney, Curio Collection by Hilton","5-star hotel located in Sydney, Australia"
89425684h,Rawema-Haus,"multi-purpose building in Chemnitz, Saxony"
916673h,The Signature at MGM Grand,"condo-hotel in Las Vegas, built in 2006"
979477h,Athenee Palace Hilton Bucharest,"hotel in Bucharest, Romania"
1011881h,Burg Großfurra,castle
1015042h,Burghaus Burgsahr,castle
1049027h,Jumeirah Emirates Towers Hotel,"56-storey hotel in the city of Dubai, United Arab Emirates"
1063195h,Torre de Madrid,Torre Madrid
1049209h,The Venetian,"hotel and casino resort in Las Vegas, Nevada, United States of Americas"
952861h,World Trade Centre Montreal,"office and hotel complex in Montreal, Quebec, Canada"
995338h,Bryson Apartment Hotel,architectural structure
1051604h,Four Queens,"casino resort in Las Vegas, Nevada"
1092961h,Circus Circus Las Vegas,"American casino hotel in Las Vegas, Nevada"
1136654h,The D Las Vegas,"hotel and casino in Las Vegas, Nevada"
1127749h,Hotel Kämp,"hotel in Kluuvi, Helsinki, Finland"
1106716h,"Kempinski Hotel Corvinus, Budapest",hotel
1116194h,The Leland Hotel,architectural structure
1136841h,Fremont Hotel and Casino,"hotel and casino Las Vegas, Nevada"
1064873h,Excalibur Hotel and Casino,hotel and casino in Las Vegas
1096141h,Act Tower,"skyscraper in Hamamatsu, Japan"
1107391h,Sands Hotel and Casino,"former hotel and casino on the Las Vegas Strip in Nevada, United States, that operated from 1952 to 1996"
1535845h,Riviera Hotel and Casino,"former casino hotel in Las Vegas, Nevada"
1504641h,Kaufhaus Jonaß,building
1541365h,Renaissance Center,"group of interconnected skyscrapers in Detroit, Michigan, United States of America"
1514587h,The Palazzo,"hotel and casino resort in Las Vegas, Nevada, United States of America"
1535018h,Golden Nugget Las Vegas Hotel & Casino,"hotel casino in Las Vegas, Nevada"
1237113h,Convento de Santa Maria do Bouro,"building in Amares, Braga District, Portugal"
1147483h,Sahara Las Vegas,"casino hotel in Las Vegas, Nevada"
1304383h,Waldorf Astoria Las Vegas,hotel in Las Vegas
1143174h,Ritz-Carlton Toronto,"skyscraper in Toronto, Canada"
1189944h,Hotel Porta Fira,"skyscraper in  Barcelona, Catalonia, Spain"
1281171h,Trump Hotel Las Vegas,"hotel in Las Vegas, Nevada"
1200583h,Desert Inn,"former hotel casino in Las Vegas, Nevada"
1309059h,Wynn Las Vegas,"luxury resort and casino located on the Las Vegas Strip in Paradise, Nevada"
19513101h,Hilton Manchester Deansgate,"hotel in Manchester, United Kingdom"
18760038h,Munkkiniemi education center,"school building in Helsinki, Finland"
18286846h,Waldorf Astoria Amsterdam,"hotel in Amsterdam, Netherlands"
18340195h,Hybernská 12,palace in Prague
19348190h,"25, place Dauphine",building in Paris
19307691h,Hilton Garden Inn London Heathrow Airport,"hotel at Heathrow airport, London, United Kingdom"
18112026h,DoubleTree by Hilton Hotel London - Chelsea,"hotel in London, United Kingdom"
18534517h,Hilton London Syon Park,"hotel at Heathrow airport, London, United Kingdom"
18813051h,Hilton Rotterdam,"5-star hotel in Rotterdam, the Netherlands"
19362430h,Gasthof Krone,Swiss cultural property of national significance in Gais
18509174h,Fayrouz Ressort,"Hilton Sharm El Sheikh Fayrouz Resort is just 12 minutes from Sharm El Sheikh International Airport and offers 210 rooms and suites, a private beach and watersports opportunities."
18712428h,Makkah Clock Royal Tower Hotel,"skyscraper hotel which is part of Abraj Al-Bait Towers in Mecca, Saudi Arabia"
18509281h,Hilton Hurghada Resort,"hotel in Hurghada, Egypt"
56651595h,Clayton Hotel Charlemont,4-star hotel located in Dublin
56598554h,Canopy by Hilton Reykjavik City Centre,"hotel in Reykjavík, Iceland"
56705491h,"former Hotel Castilla, Toledo","building in Toledo, Spain"
56711100h,Edifício A Tarde,"office building in Salvador, Bahia"
56214797h,Hilton Garden Inn Novorossiysk,"hotel in Novorossiysk, Russia"
56522910h,"Grand Hotel des Sablettes Plage, Curio Collection by Hilton","hotel in La Seyne-sur-Mer, France"
56478942h,Hilton Kuwait Resort,"hotel in Kuwait City, Kuwait"
56446735h,Hilton Beijing Capital Airport,"hotel in Beijing, China"
1580067h,Harrah's Las Vegas,"hotel casino in Las Vegas, Nevada"
62068054h,Conrad Cairo,"hotel in Cairo, Egypt"
63025895h,Hilton Dublin,"hotel in Dublin, Ireland"
61897167h,Conrad Bangkok,"hotel in Bangkok, Thailand"
62479268h,Hampton by Hilton Munich City West,"hotel in Munich, Germany"
61888685h,Hilton Fiji Beach Resort and Spa,"hotel in Nadi, Fiji"
61868406h,DoubleTree by Hilton Hotel Woking,"4-star hotel in Woking, United Kingdom"
61885625h,Hilton Marsa Alam Nubian Resort,"beach resort in Marsa Alam, Egypt"
54873914h,Clarke Hotel,"historic hotel in Hastings, Nebraska, USA"
54475217h,NH Collection Porto Batalha,"building in Porto, Porto District, Portugal"
56085005h,Clayton Hotel Chiswick,"4-star hotel located in Chiswick, West London."
56085020h,Clayton Hotel Leeds,4-star hotel located in Leeds City Centre
56085075h,Clayton Hotel Belfast,4-star hotel located in Belfast City Centre
52886668h,"Rome Cavalieri, A Waldorf Astoria Hotel","hotel in Rome, Italy"
53999203h,Hilton Niseko Village,"hotel in Niseko, Japan"
53806946h,Convento do Salvador,monastery in Lisbon
55605106h,Beaumont Hotel,"hotel building in Mayville, Wisconsin"
53881282h,Palacete do Chafariz d'El-Rei,building in Lisbon
55346142h,Convent of the Capuchinos,17th-century former convent in Segovia
51222702h,H10 Berlin Ku'damm,hotel and former school building in Berlin-Charlottenburg
56150916h,Clayton Hotel Cardiff,"4-star hotel located in Cardiff, Wales."
55865629h,Hampton by Hilton Liverpool City Centre,"hotel in Liverpool, United Kingdom"
56194854h,Hilton Garden Inn Orenburg,"hotel in Orenburg, Russia"
54474974h,Companhia de Moagens Harmonia,"cultural heritage monument in Porto, Portugal"
55075422h,Hippee Building,"office building in Des Moines, Iowa"
55209416h,Harper House,"19th century hotel (demolished) in Rock Island, Illinois"
56084920h,Clayton Crown Hotel,"Clayton Crown Hotel is a 4-star hotel in Northwest London, Cricklewood."
56085053h,Clayton Hotel Birmingham,4-star hotel located in Birmingham city centre and formerly Hotel La Tour
54427554h,Dalmatia Tower,High-rise building in Croatia
54475112h,Quinta da Pacheca,"building in Lamego Municipality, Viseu District, Portugal"
53632218h,DoubleTree by Hilton Hotel London ExCel,"4-star hotel near ExCeL London, United Kingdom"
51025456h,Hilton Garden Inn Florence Novoli,hotel in Florence
55185046h,Sint-Antonius van Paduakerk,"church in Sluiskil, Netherlands"
55347999h,Hilton Barcelona,"hotel in Barcelona, Spain"
